------Generation 0------
Rule  1: b5122544bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 72b4137224, Class:  0, CF:0.997821, Len: 10, Fitness_tra: 0
Rule  3: 1142214274, Class:  0, CF:0.504389, Len: 10, Fitness_tra: 0
Rule  4: 1417df24b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 144b1e7741, Class:  0, CF:0.929879, Len: 10, Fitness_tra: 26
Rule  6: 7412a1142b, Class:  0, CF:  1, Len: 10, Fitness_tra: 57
Rule  7: b1b71a17b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 722b112224, Class:  1, CF:0.916403, Len: 10, Fitness_tra: 2
Rule  9: 42744517b2, Class:  0, CF:0.982023, Len: 10, Fitness_tra: 6
Rule 10: 212185bb21, Class:  0, CF:0.250113, Len: 10, Fitness_tra: 0
Rule 11: 244b162174, Class:  0, CF:0.999969, Len: 10, Fitness_tra: 0
Rule 12: b24451271b, Class:  0, CF:0.847344, Len: 10, Fitness_tra: 0
Rule 13: 7b1259bb47, Class:  0, CF:0.978193, Len: 10, Fitness_tra: 0
Rule 14: 124b117242, Class:  1, CF:0.494671, Len: 10, Fitness_tra: 1
Rule 15: 417725b1b4, Class:  0, CF:0.835161, Len: 10, Fitness_tra: 0
Rule 16: 117281b717, Class:  0, CF:0.796786, Len: 10, Fitness_tra: 23
Rule 17: 47221a4414, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 41721e1441, Class:  1, CF:0.143934, Len: 10, Fitness_tra: 0
Rule 19: 772b5141b1, Class:  0, CF:0.664108, Len: 10, Fitness_tra: 0
Rule 20: 2147891121, Class:  0, CF:0.335761, Len: 10, Fitness_tra: 3
Rule 21: b211137174, Class:  0, CF:0.990539, Len: 10, Fitness_tra: 44
Rule 22: 4bb18a7b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: bbb483727b, Class:  0, CF:0.842058, Len: 10, Fitness_tra: 0
Rule 24: 1142214717, Class:  0, CF:0.881232, Len: 10, Fitness_tra: 0
Rule 25: 4217234b1b, Class:  0, CF:0.966735, Len: 10, Fitness_tra: 0
Rule 26: 187126472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 78b2114bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 24225327b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 742b1f2bb1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 7b71137247, Class:  0, CF:0.991005, Len: 10, Fitness_tra: 0
Rule 31: 241756b174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18748e4444, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 33: 72728fb22b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 73b21e2b7c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: b17bc8b247, Class:  1, CF:0.378167, Len: 10, Fitness_tra: 0
Rule 36: 72b7857bb7, Class:  0, CF:0.987513, Len: 10, Fitness_tra: 0
Rule 37: bc72c111b7, Class:  0, CF:0.996849, Len: 10, Fitness_tra: 39
Rule 38: 11142f44bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 25411972b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 7272162b74, Class:  0, CF:0.999995, Len: 10, Fitness_tra: 0
Rule 41: 441223271b, Class:  0, CF:0.962336, Len: 10, Fitness_tra: 0
Rule 42: 727b1eb771, Class:  0, CF:0.934242, Len: 10, Fitness_tra: 0
Rule 43: 141b1f1712, Class:  0, CF:  1, Len: 10, Fitness_tra: 20
Rule 44: 7bb18ab1b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1b12181241, Class:  0, CF:0.923547, Len: 10, Fitness_tra: 2119
Rule 46: 4144ca2177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 12b4864227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 272bc34b77, Class:  0, CF:0.883737, Len: 10, Fitness_tra: 0
Rule 49: 711b5f4117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b717c3b714, Class:  0, CF:0.744693, Len: 10, Fitness_tra: 0
Rule 51: 2124132141, Class:  0, CF:0.975538, Len: 10, Fitness_tra: 4
Rule 52: 22241f4b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: bd711e4bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 222b214112, Class:  0, CF:0.669318, Len: 10, Fitness_tra: 0
Rule 55: b271864442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: bd2b297b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 4514164221, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 717bc67417, Class:  0, CF:0.546207, Len: 10, Fitness_tra: 0
Rule 59: 1b711e41b7, Class:  0, CF:0.643789, Len: 10, Fitness_tra: 148
Rule 60: 241726441b, Class:  0, CF:0.998218, Len: 10, Fitness_tra: 0
Rule 61: 4bbb111b77, Class:  0, CF:0.619559, Len: 10, Fitness_tra: 2
Rule 62: 4c172e74b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 472b29774b, Class:  0, CF:0.0615418, Len: 10, Fitness_tra: 0
Rule 64: bb71ce1b41, Class:  1, CF:0.81638, Len: 10, Fitness_tra: -15
Rule 65: 4117284474, Class:  0, CF:0.178682, Len: 10, Fitness_tra: 0
Rule 66: 21442a2b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 4b17261724, Class:  0, CF:0.999624, Len: 10, Fitness_tra: 0
Rule 68: 224b1a7721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 69: 11bbd67172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 72bb5e7247, Class:  1, CF:0.221539, Len: 10, Fitness_tra: 0
Rule 71: 42bb51b742, Class:  0, CF:0.597955, Len: 10, Fitness_tra: 0
Rule 72: 4b11512242, Class:  1, CF:0.986955, Len: 10, Fitness_tra: 0
Rule 73: 2227211772, Class:  0, CF:0.895917, Len: 10, Fitness_tra: 1
