------Generation 0------
Rule  1: 14418e7bb7, Class:  0, CF:0.975669, Len: 10, Fitness_tra: 0
Rule  2: 2441214b11, Class:  0, CF:0.841869, Len: 10, Fitness_tra: 1
Rule  3: 74411e4412, Class:  1, CF:0.831877, Len: 10, Fitness_tra: 0
Rule  4: 44b7417b74, Class:  0, CF:0.916755, Len: 10, Fitness_tra: 0
Rule  5: 124b534b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7774c1141b, Class:  0, CF:0.410386, Len: 10, Fitness_tra: 2
Rule  7: 214b4321b7, Class:  0, CF:0.956547, Len: 10, Fitness_tra: 0
Rule  8: 7b74212711, Class:  0, CF:0.347174, Len: 10, Fitness_tra: 0
Rule  9: 24b211b124, Class:  0, CF:0.624192, Len: 10, Fitness_tra: 0
Rule 10: 1bb4137142, Class:  0, CF:0.807726, Len: 10, Fitness_tra: 0
Rule 11: b8214d7b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 17bbce44bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 422b192b77, Class:  0, CF:0.9874, Len: 10, Fitness_tra: 0
Rule 14: 75b7212742, Class:  0, CF:0.503855, Len: 10, Fitness_tra: 0
Rule 15: 711713717c, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: bb7b8a1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 184783444b, Class:  0, CF:0.911877, Len: 10, Fitness_tra: 0
Rule 18: 21bb252222, Class:  1, CF:0.829071, Len: 10, Fitness_tra: 0
Rule 19: 1477332bb4, Class:  0, CF:0.996668, Len: 10, Fitness_tra: 0
Rule 20: 1114131717, Class:  0, CF:0.992817, Len: 10, Fitness_tra: 246
Rule 21: 2441251744, Class:  1, CF:0.572133, Len: 10, Fitness_tra: -6
Rule 22: 7224ca74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 24215fb712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 114156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2abb437b41, Class:  0, CF:0.324003, Len: 10, Fitness_tra: 0
Rule 26: 2b445114b2, Class:  1, CF:0.813619, Len: 10, Fitness_tra: 0
Rule 27: 71111347b7, Class:  0, CF:0.964062, Len: 10, Fitness_tra: 0
Rule 28: b874c17111, Class:  0, CF:0.95981, Len: 10, Fitness_tra: 9
Rule 29: 144b13b2b4, Class:  0, CF:0.995273, Len: 10, Fitness_tra: 0
Rule 30: bc71c62b21, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 7b441abbb1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 7221c61b72, Class:  0, CF:0.965126, Len: 10, Fitness_tra: 0
Rule 33: b41451b744, Class:  0, CF:0.483559, Len: 10, Fitness_tra: 0
Rule 34: 42772517b4, Class:  0, CF:0.98341, Len: 10, Fitness_tra: 28
Rule 35: b1148a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 77125f2147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2bb72eb7b2, Class:  0, CF:0.242793, Len: 10, Fitness_tra: 0
Rule 38: 47b7ca1b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 41b1a117b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 197
Rule 40: 7211814174, Class:  1, CF:0.016795, Len: 10, Fitness_tra: 0
Rule 41: 49b1892b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 122b3a4142, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 43: 1b1b231147, Class:  0, CF:0.930519, Len: 10, Fitness_tra: 0
Rule 44: 1c17492147, Class:  0, CF:0.996316, Len: 10, Fitness_tra: 10
Rule 45: 172413bb17, Class:  0, CF:0.968427, Len: 10, Fitness_tra: 0
Rule 46: b7411e14b1, Class:  0, CF:0.0806403, Len: 10, Fitness_tra: 0
Rule 47: 741113141b, Class:  0, CF:0.984629, Len: 10, Fitness_tra: 65
Rule 48: b714ce1277, Class:  0, CF:0.477257, Len: 10, Fitness_tra: 0
Rule 49: 7b721a217b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 50: 11421141bb, Class:  0, CF:0.964733, Len: 10, Fitness_tra: 0
Rule 51: 114b81bb21, Class:  0, CF:0.87105, Len: 10, Fitness_tra: 0
Rule 52: 11b1297221, Class:  1, CF:0.832107, Len: 10, Fitness_tra: -74
Rule 53: 4771c1b212, Class:  1, CF:0.548444, Len: 10, Fitness_tra: 0
Rule 54: b922511441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 7bb2234471, Class:  0, CF:0.662737, Len: 10, Fitness_tra: 0
Rule 56: b71b1a1221, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 57: 4774817b24, Class:  0, CF:0.212261, Len: 10, Fitness_tra: 0
Rule 58: b722c32142, Class:  0, CF:0.44597, Len: 10, Fitness_tra: 0
