------Generation 0------
Rule  1: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 17b7197271, Class:  0, CF:0.490177, Len: 10, Fitness_tra: 0
Rule  3: 1114597bb2, Class:  0, CF:0.996234, Len: 10, Fitness_tra: 0
Rule  4: 4144232412, Class:  0, CF:0.841985, Len: 10, Fitness_tra: 0
Rule  5: b241111477, Class:  0, CF:0.817129, Len: 10, Fitness_tra: 63
Rule  6: 14271d42bb, Class:  0, CF:0.914643, Len: 10, Fitness_tra: 0
Rule  7: 754119b1b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 24b11a7217, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  9: 1bb4ce1747, Class:  1, CF:0.198592, Len: 10, Fitness_tra: 0
Rule 10: 182225bb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 11: 24bbce1124, Class:  0, CF:0.216783, Len: 10, Fitness_tra: 0
Rule 12: 4b2b937b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 144241b7b1, Class:  0, CF:0.952883, Len: 10, Fitness_tra: 4
Rule 14: 7221c61172, Class:  0, CF:0.912595, Len: 10, Fitness_tra: 0
Rule 15: 12b41fbb24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 497b81b174, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 7221c5b247, Class:  1, CF:0.566509, Len: 10, Fitness_tra: 0
Rule 18: 427131bbb7, Class:  0, CF:0.996355, Len: 10, Fitness_tra: 0
Rule 19: 772b5a412b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7bb4ce7227, Class:  1, CF:0.929239, Len: 10, Fitness_tra: 0
Rule 21: b14b134424, Class:  0, CF:0.574708, Len: 10, Fitness_tra: 0
Rule 22: 2c2b862717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7b4416b2b1, Class:  0, CF:0.993381, Len: 10, Fitness_tra: 0
Rule 24: 4b212d7227, Class:  1, CF:0.989053, Len: 10, Fitness_tra: 0
Rule 25: 7414214b47, Class:  0, CF:0.905737, Len: 10, Fitness_tra: 0
Rule 26: 4cbb16422b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 12742e1777, Class:  0, CF:0.992785, Len: 10, Fitness_tra: 1
Rule 28: 121411b147, Class:  0, CF:0.984375, Len: 10, Fitness_tra: 167
Rule 29: b844112224, Class:  1, CF:0.841655, Len: 10, Fitness_tra: 2
Rule 30: 74112e7224, Class:  1, CF:0.929814, Len: 10, Fitness_tra: 0
Rule 31: 4b4b8e2172, Class:  1, CF:0.701323, Len: 10, Fitness_tra: 0
Rule 32: bb24161774, Class:  0, CF:0.999978, Len: 10, Fitness_tra: 0
Rule 33: b214812272, Class:  0, CF:0.31093, Len: 10, Fitness_tra: 0
Rule 34: 47221111b7, Class:  0, CF:0.937658, Len: 10, Fitness_tra: 5
Rule 35: 41175141b4, Class:  0, CF:0.587133, Len: 10, Fitness_tra: 0
Rule 36: b4b129741b, Class:  1, CF:0.709553, Len: 10, Fitness_tra: 1
Rule 37: 4422532471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 73b44eb1b1, Class:  0, CF:0.69119, Len: 10, Fitness_tra: 1
Rule 39: 1244817721, Class:  0, CF:0.901285, Len: 10, Fitness_tra: 0
Rule 40: 1121c37111, Class:  0, CF:0.0257438, Len: 10, Fitness_tra: 46
Rule 41: 2747594412, Class:  1, CF:0.417031, Len: 10, Fitness_tra: 0
Rule 42: 7441532171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2d41c177b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 141721bb74, Class:  0, CF:0.973372, Len: 10, Fitness_tra: 0
Rule 45: 2442c141b2, Class:  0, CF:0.751398, Len: 10, Fitness_tra: 0
Rule 46: bb171322bb, Class:  0, CF:0.933755, Len: 10, Fitness_tra: 0
Rule 47: b4bb264147, Class:  0, CF:0.999777, Len: 10, Fitness_tra: 0
Rule 48: 11b4194742, Class:  0, CF:0.380624, Len: 10, Fitness_tra: 0
Rule 49: 27b28a1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7c71567441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 27471174b1, Class:  0, CF:0.882227, Len: 10, Fitness_tra: 0
Rule 52: 272b197222, Class:  1, CF:0.895256, Len: 10, Fitness_tra: 0
Rule 53: 44b196712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 217b8a2444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7b1b191211, Class:  0, CF:0.872928, Len: 10, Fitness_tra: 3062
Rule 56: b114b144bb, Class:  0, CF:0.966045, Len: 10, Fitness_tra: 0
Rule 57: 7c47152141, Class:  0, CF:0.902123, Len: 10, Fitness_tra: 0
Rule 58: 7277567411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 21b1d11741, Class:  1, CF:0.889335, Len: 10, Fitness_tra: -12
Rule 60: 22477171b4, Class:  0, CF:0.973461, Len: 10, Fitness_tra: 0
Rule 61: 14248eb14b, Class:  0, CF:0.909528, Len: 10, Fitness_tra: 0
Rule 62: b221c37bb4, Class:  0, CF:0.902693, Len: 10, Fitness_tra: 0
Rule 63: 7171834b41, Class:  0, CF:0.89107, Len: 10, Fitness_tra: 0
Rule 64: b71411b27b, Class:  0, CF:0.550654, Len: 10, Fitness_tra: 0
Rule 65: 7142664b27, Class:  0, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 66: 424b112412, Class:  0, CF:0.533322, Len: 10, Fitness_tra: 0
