------Generation 0------
Rule  1: 4b7159b7b7, Class:  1, CF:0.713535, Len: 10, Fitness_tra: 0
Rule  2: 2174232722, Class:  0, CF:0.989752, Len: 10, Fitness_tra: 0
Rule  3: 2422112177, Class:  0, CF:0.899947, Len: 10, Fitness_tra: 0
Rule  4: 7421362711, Class:  0, CF:0.998929, Len: 10, Fitness_tra: 2
Rule  5: 7722132214, Class:  0, CF:0.990123, Len: 10, Fitness_tra: 0
Rule  6: 47b7817147, Class:  1, CF:0.283213, Len: 10, Fitness_tra: 0
Rule  7: 4db2197714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: b517157122, Class:  0, CF:0.966953, Len: 10, Fitness_tra: 0
Rule  9: 45416a4114, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 117286171b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4271812421, Class:  1, CF:0.486119, Len: 10, Fitness_tra: 1
Rule 12: 4712114721, Class:  0, CF:0.813469, Len: 10, Fitness_tra: 0
Rule 13: b12b5a7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 41b4114722, Class:  0, CF:0.476926, Len: 10, Fitness_tra: 0
Rule 15: bbb21f444b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 4f4d51b44b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 12b4412427, Class:  0, CF:0.486311, Len: 10, Fitness_tra: 0
Rule 18: b112212141, Class:  0, CF:0.697407, Len: 10, Fitness_tra: 1080
Rule 19: 77b2c61b71, Class:  0, CF:0.804439, Len: 10, Fitness_tra: 0
Rule 20: b2b2114bb4, Class:  0, CF:0.978567, Len: 10, Fitness_tra: 0
Rule 21: 7b2421777b, Class:  1, CF:0.203879, Len: 10, Fitness_tra: 0
Rule 22: 241bd17422, Class:  1, CF:0.465651, Len: 10, Fitness_tra: 0
Rule 23: 7bb2662247, Class:  0, CF:0.999944, Len: 10, Fitness_tra: 0
Rule 24: b8241e2214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: 14b2232722, Class:  0, CF:0.987423, Len: 10, Fitness_tra: 0
Rule 26: 27b753b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1727291b21, Class:  0, CF:0.963034, Len: 10, Fitness_tra: 1827
Rule 28: 222426722b, Class:  0, CF:0.999984, Len: 10, Fitness_tra: 0
Rule 29: 7177167447, Class:  0, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 30: b1215eb117, Class:  1, CF:0.558451, Len: 10, Fitness_tra: -122
Rule 31: 42b7217444, Class:  1, CF:0.132777, Len: 10, Fitness_tra: 0
Rule 32: 4247217b74, Class:  0, CF:0.924584, Len: 10, Fitness_tra: 0
Rule 33: bb14114214, Class:  0, CF:0.215955, Len: 10, Fitness_tra: 0
Rule 34: 75477d27b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: b4b729bb14, Class:  0, CF:0.953735, Len: 10, Fitness_tra: 0
Rule 36: 444b1174b1, Class:  0, CF:0.949598, Len: 10, Fitness_tra: 0
Rule 37: b777787222, Class:  1, CF:0.334494, Len: 10, Fitness_tra: 0
Rule 38: 2b27211214, Class:  1, CF:0.488092, Len: 10, Fitness_tra: 0
Rule 39: 27111a4b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 111c331724, Class:  0, CF:  1, Len: 10, Fitness_tra: 7
Rule 41: b1b2cf2724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d71134bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: b41426b212, Class:  0, CF:0.998321, Len: 10, Fitness_tra: 0
Rule 44: 181129b744, Class:  0, CF:  1, Len: 10, Fitness_tra: 29
Rule 45: b712ce2721, Class:  0, CF:0.536735, Len: 10, Fitness_tra: 0
Rule 46: 21712d4b21, Class:  1, CF:0.0202583, Len: 10, Fitness_tra: 0
Rule 47: 4421557b41, Class:  0, CF:0.770894, Len: 10, Fitness_tra: 0
Rule 48: 777bc3b127, Class:  0, CF:0.808214, Len: 10, Fitness_tra: 0
Rule 49: 4b2136bb74, Class:  0, CF:0.999837, Len: 10, Fitness_tra: 0
Rule 50: 421719b742, Class:  0, CF:0.759913, Len: 10, Fitness_tra: 0
Rule 51: 4224212411, Class:  0, CF:0.637451, Len: 10, Fitness_tra: -1
Rule 52: 2114e11114, Class:  0, CF:0.926868, Len: 10, Fitness_tra: 2
Rule 53: 11bb211774, Class:  0, CF:0.830424, Len: 10, Fitness_tra: 1516
Rule 54: 4b12512b2b, Class:  1, CF:0.167336, Len: 10, Fitness_tra: 0
Rule 55: 1b471627bb, Class:  0, CF:0.999285, Len: 10, Fitness_tra: 0
Rule 56: 744111b711, Class:  0, CF:0.925367, Len: 10, Fitness_tra: 155
Rule 57: b117164742, Class:  0, CF:0.99953, Len: 10, Fitness_tra: 0
Rule 58: 714489bb22, Class:  0, CF:0.187239, Len: 10, Fitness_tra: 0
Rule 59: 4b77d341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 211281122b, Class:  1, CF:0.176454, Len: 10, Fitness_tra: 1
