------Generation 0------
Rule  1: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 27218e4414, Class:  1, CF:0.952501, Len: 10, Fitness_tra: 0
Rule  3: 277b424142, Class:  1, CF:0.248235, Len: 10, Fitness_tra: 0
Rule  4: 1b22297127, Class:  0, CF:0.167834, Len: 10, Fitness_tra: 9
Rule  5: 4b428111b2, Class:  1, CF:0.607297, Len: 10, Fitness_tra: 0
Rule  6: b271131b12, Class:  0, CF:0.998483, Len: 10, Fitness_tra: 115
Rule  7: 78bb161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 122bc311b1, Class:  0, CF:0.962279, Len: 10, Fitness_tra: 6
Rule  9: 4c72ce4141, Class:  0, CF:0.903822, Len: 10, Fitness_tra: 0
Rule 10: 71b113b7b7, Class:  0, CF:0.994132, Len: 10, Fitness_tra: 0
Rule 11: b1bb2142b7, Class:  0, CF:0.371558, Len: 10, Fitness_tra: 0
Rule 12: b271282b2b, Class:  0, CF:0.359881, Len: 10, Fitness_tra: 0
Rule 13: b241517211, Class:  1, CF:0.361152, Len: 10, Fitness_tra: 0
Rule 14: bbb4a61724, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 7b71c61427, Class:  0, CF:0.953573, Len: 10, Fitness_tra: 0
Rule 16: b2b731b714, Class:  0, CF:0.927394, Len: 10, Fitness_tra: 0
Rule 17: b5b119bbb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 44bbc67bb7, Class:  0, CF:0.919842, Len: 10, Fitness_tra: 0
Rule 19: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4444114172, Class:  0, CF:0.862993, Len: 10, Fitness_tra: 0
Rule 21: b747212211, Class:  0, CF:0.630812, Len: 10, Fitness_tra: 0
Rule 22: 14b7812172, Class:  0, CF:0.75007, Len: 10, Fitness_tra: 0
Rule 23: 12225327b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 42b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b29b422, Class:  0, CF:0.0462705, Len: 10, Fitness_tra: 0
Rule 26: 77bb1e4417, Class:  1, CF:0.055664, Len: 10, Fitness_tra: 0
Rule 27: 124b554717, Class:  0, CF:0.99727, Len: 10, Fitness_tra: 63
Rule 28: 71111e11b2, Class:  0, CF:0.626604, Len: 10, Fitness_tra: 2005
Rule 29: 1247112b44, Class:  0, CF:0.989214, Len: 10, Fitness_tra: 0
Rule 30: 1814117b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 45
Rule 31: 4421217bb1, Class:  0, CF:0.898451, Len: 10, Fitness_tra: 2
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4144c1b277, Class:  1, CF:0.410236, Len: 10, Fitness_tra: 0
Rule 34: 4171834411, Class:  0, CF:0.72955, Len: 10, Fitness_tra: 0
Rule 35: 2422c62127, Class:  0, CF:0.80648, Len: 10, Fitness_tra: 0
Rule 36: b2b25f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1224512bb2, Class:  0, CF:0.987717, Len: 10, Fitness_tra: 0
Rule 38: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b1118a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71448e277b, Class:  0, CF:0.946759, Len: 10, Fitness_tra: 0
Rule 41: 2747864b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21242371bb, Class:  0, CF:0.97312, Len: 10, Fitness_tra: 0
Rule 43: 2b423321bb, Class:  0, CF:0.972852, Len: 10, Fitness_tra: 0
Rule 44: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cb2ca1b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b789b271, Class:  0, CF:0.825717, Len: 10, Fitness_tra: 0
Rule 47: 41b223b772, Class:  0, CF:0.986187, Len: 10, Fitness_tra: 0
Rule 48: 427bc31147, Class:  1, CF:0.507092, Len: 10, Fitness_tra: 1
Rule 49: 4b71134217, Class:  0, CF:0.976594, Len: 10, Fitness_tra: 0
Rule 50: b414c87b47, Class:  0, CF:0.749006, Len: 10, Fitness_tra: 0
Rule 51: 21bb212271, Class:  0, CF:0.390236, Len: 10, Fitness_tra: 0
Rule 52: 1b72ca1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 71111621b4, Class:  0, CF:0.995739, Len: 10, Fitness_tra: 0
Rule 54: b74272bbb1, Class:  0, CF:0.902057, Len: 10, Fitness_tra: 0
Rule 55: 42b2462722, Class:  0, CF:0.999972, Len: 10, Fitness_tra: 0
Rule 56: b21113b7b4, Class:  0, CF:0.994367, Len: 10, Fitness_tra: 3
Rule 57: bc24297b22, Class:  0, CF:0.912092, Len: 10, Fitness_tra: 0
Rule 58: 4742111444, Class:  0, CF:0.145919, Len: 10, Fitness_tra: 0
Rule 59: b512817477, Class:  0, CF:0.923232, Len: 10, Fitness_tra: 0
Rule 60: 1a11412411, Class:  1, CF:0.0663743, Len: 10, Fitness_tra: -397
