------Generation 0------
Rule  1: b7748a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22b11344b1, Class:  0, CF:0.995895, Len: 10, Fitness_tra: 1
Rule  3: 14b211b74b, Class:  0, CF:0.916067, Len: 10, Fitness_tra: 0
Rule  4: 27bb514744, Class:  1, CF:0.765482, Len: 10, Fitness_tra: 0
Rule  5: 71b4412222, Class:  1, CF:0.291674, Len: 10, Fitness_tra: 0
Rule  6: 242bc6442b, Class:  0, CF:0.919842, Len: 10, Fitness_tra: 0
Rule  7: 17222e4111, Class:  0, CF:0.996924, Len: 10, Fitness_tra: 350
Rule  8: 42b7262b12, Class:  0, CF:0.99978, Len: 10, Fitness_tra: 0
Rule  9: 44722a27b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 15b1111744, Class:  0, CF:0.80086, Len: 10, Fitness_tra: 312
Rule 11: 217416b222, Class:  0, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 12: 18b82fbbb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b141132241, Class:  0, CF:0.949634, Len: 10, Fitness_tra: 1
Rule 14: 4c7481b2b4, Class:  0, CF:0.744601, Len: 10, Fitness_tra: 0
Rule 15: 7c22c57144, Class:  0, CF:0.364978, Len: 10, Fitness_tra: 0
Rule 16: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 72b1817bb1, Class:  0, CF:0.686859, Len: 10, Fitness_tra: 13
Rule 18: 714163b1b4, Class:  0, CF:0.999814, Len: 10, Fitness_tra: 34
Rule 19: 1b11d67744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 72228e2477, Class:  0, CF:0.527299, Len: 10, Fitness_tra: 0
Rule 21: b241261721, Class:  0, CF:0.999884, Len: 10, Fitness_tra: 8
Rule 22: 43111eb414, Class:  1, CF:0.833439, Len: 10, Fitness_tra: -1492
Rule 23: c0505d033d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 744419b724, Class:  1, CF:0.185258, Len: 10, Fitness_tra: 0
Rule 25: 124b132144, Class:  0, CF:0.788388, Len: 10, Fitness_tra: 0
Rule 26: 27b21a1414, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 22718171bb, Class:  1, CF:0.132498, Len: 10, Fitness_tra: 0
Rule 28: 4771c9b471, Class:  1, CF:0.779526, Len: 10, Fitness_tra: 0
Rule 29: 127413b172, Class:  0, CF:0.997269, Len: 10, Fitness_tra: 0
Rule 30: 17b75a1214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 21b4564bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 48b81f2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4d771a7b24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
