------Generation 0------
Rule  1: 27b2c67b17, Class:  0, CF:0.784822, Len: 10, Fitness_tra: 0
Rule  2: 74175a4224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1a71b12114, Class:  0, CF:0.507748, Len: 10, Fitness_tra: 678
Rule  4: 224b49b124, Class:  0, CF:0.601186, Len: 10, Fitness_tra: 0
Rule  5: 2714291b11, Class:  0, CF:0.987551, Len: 10, Fitness_tra: 753
Rule  6: 2724c6b214, Class:  0, CF:0.784822, Len: 10, Fitness_tra: 0
Rule  7: 42b2517227, Class:  1, CF:0.158869, Len: 10, Fitness_tra: 0
Rule  8: 42b223b21b, Class:  0, CF:0.988409, Len: 10, Fitness_tra: 0
Rule  9: 142b264b42, Class:  0, CF:0.999945, Len: 10, Fitness_tra: 1
Rule 10: 777b1a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 4427c6b4b4, Class:  0, CF:0.919864, Len: 10, Fitness_tra: 0
Rule 12: 41224f7224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 4211c142b1, Class:  0, CF:0.466845, Len: 10, Fitness_tra: 16
Rule 14: 44278117b1, Class:  0, CF:0.68508, Len: 10, Fitness_tra: 1
Rule 15: b441c52b17, Class:  0, CF:0.282546, Len: 10, Fitness_tra: 0
Rule 16: 77b71f721b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b222164421, Class:  0, CF:0.999892, Len: 10, Fitness_tra: 0
Rule 18: 2174812b47, Class:  0, CF:0.294376, Len: 10, Fitness_tra: 0
Rule 19: 7a1dd17122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7b746fbb4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: bb2bc14274, Class:  1, CF:0.756063, Len: 10, Fitness_tra: 0
Rule 22: 714bc57221, Class:  1, CF:0.293993, Len: 10, Fitness_tra: 0
Rule 23: 4111331b42, Class:  0, CF:0.993192, Len: 10, Fitness_tra: 56
Rule 24: 4b2721bbb2, Class:  0, CF:0.417149, Len: 10, Fitness_tra: 0
Rule 25: 7b771974b7, Class:  1, CF:0.345672, Len: 10, Fitness_tra: 0
Rule 26: 274751b712, Class:  1, CF:0.368518, Len: 10, Fitness_tra: 0
Rule 27: 2717cebb42, Class:  1, CF:0.0493792, Len: 10, Fitness_tra: 0
Rule 28: 241715b711, Class:  0, CF:0.943219, Len: 10, Fitness_tra: 22
Rule 29: 1c4b2344b4, Class:  0, CF:0.998368, Len: 10, Fitness_tra: 0
Rule 30: 112b5142b2, Class:  0, CF:0.445771, Len: 10, Fitness_tra: 0
Rule 31: 2722567114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b271214bb7, Class:  0, CF:0.841802, Len: 10, Fitness_tra: 2
Rule 33: 72221c7b2b, Class:  0, CF:0.955118, Len: 10, Fitness_tra: 0
Rule 34: 27441627b4, Class:  0, CF:0.999969, Len: 10, Fitness_tra: 0
Rule 35: 42248eb474, Class:  0, CF:0.354974, Len: 10, Fitness_tra: 0
Rule 36: 21b4537114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2722ce2722, Class:  1, CF:0.875695, Len: 10, Fitness_tra: 0
Rule 38: 4274837b12, Class:  0, CF:0.959426, Len: 10, Fitness_tra: 0
Rule 39: 42b4244747, Class:  0, CF:0.505844, Len: 10, Fitness_tra: 0
Rule 40: 1227117211, Class:  0, CF:0.916904, Len: 10, Fitness_tra: 48
Rule 41: 787b2e1712, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 12141314b7, Class:  0, CF:0.998667, Len: 10, Fitness_tra: 139
Rule 43: 7872252bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 2127291127, Class:  0, CF:0.123085, Len: 10, Fitness_tra: 0
Rule 45: 72718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 72b4117b72, Class:  0, CF:0.967283, Len: 10, Fitness_tra: 0
Rule 47: b1b118b7b2, Class:  1, CF:0.0361705, Len: 10, Fitness_tra: 0
Rule 48: 12718142b1, Class:  0, CF:0.468378, Len: 10, Fitness_tra: 0
Rule 49: 14b48a72b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2411c97b71, Class:  0, CF:0.761908, Len: 10, Fitness_tra: 1
Rule 51: 247b3f22b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
