------Generation 0------
Rule  1: b217152b41, Class:  0, CF:0.997489, Len: 10, Fitness_tra: 1
Rule  2: 721125b222, Class:  1, CF:0.831487, Len: 10, Fitness_tra: 1
Rule  3: 7172cfb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172c17714, Class:  0, CF:0.371669, Len: 10, Fitness_tra: 0
Rule  5: b77261bbb7, Class:  0, CF:0.999975, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7bbb562441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112834411, Class:  0, CF:0.628779, Len: 10, Fitness_tra: 0
Rule  9: 24127142b4, Class:  0, CF:0.910223, Len: 10, Fitness_tra: 0
Rule 10: 7711ce7742, Class:  1, CF:0.824047, Len: 10, Fitness_tra: 0
Rule 11: b711217b2b, Class:  0, CF:0.382446, Len: 10, Fitness_tra: 0
Rule 12: 2177434b4b, Class:  0, CF:0.985067, Len: 10, Fitness_tra: 0
Rule 13: b2b4137b12, Class:  0, CF:0.995242, Len: 10, Fitness_tra: 0
Rule 14: 21b1c31111, Class:  0, CF:0.245997, Len: 10, Fitness_tra: 49
Rule 15: 247b56b447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1247ca2722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 4b24c92422, Class:  1, CF:0.891789, Len: 10, Fitness_tra: 0
Rule 18: 42711e7721, Class:  1, CF:0.205636, Len: 10, Fitness_tra: 0
Rule 19: 4f72182722, Class:  1, CF:0.511702, Len: 10, Fitness_tra: 0
Rule 20: 1347112711, Class:  0, CF:0.626045, Len: 10, Fitness_tra: 14
Rule 21: b427231b72, Class:  0, CF:0.997538, Len: 10, Fitness_tra: 3
Rule 22: 24441a22bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 4771134bb7, Class:  0, CF:0.994165, Len: 10, Fitness_tra: 1
Rule 24: bb44551271, Class:  1, CF:0.767413, Len: 10, Fitness_tra: 0
Rule 25: 1447ca24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1b2b814212, Class:  1, CF:0.417836, Len: 10, Fitness_tra: 0
Rule 27: b4111e4147, Class:  0, CF:0.017617, Len: 10, Fitness_tra: 0
Rule 28: 412b15b724, Class:  0, CF:0.251378, Len: 10, Fitness_tra: 0
Rule 29: 7547212b27, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
