------Generation 0------
Rule  1: b221cd471b, Class:  1, CF:0.0551147, Len: 10, Fitness_tra: 0
Rule  2: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2211c7774, Class:  0, CF:0.368485, Len: 10, Fitness_tra: -1
Rule  4: 1271612117, Class:  0, CF:0.998588, Len: 10, Fitness_tra: 1831
Rule  5: 4d1bc1b272, Class:  0, CF:0.443654, Len: 10, Fitness_tra: 0
Rule  6: bcb4292414, Class:  0, CF:0.893568, Len: 10, Fitness_tra: 0
Rule  7: 74b229b1b2, Class:  0, CF:0.959777, Len: 10, Fitness_tra: 0
Rule  8: 11b1c614b4, Class:  0, CF:0.894636, Len: 10, Fitness_tra: 0
Rule  9: 747b314b41, Class:  0, CF:0.994837, Len: 10, Fitness_tra: 4
Rule 10: b4741f421b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 4d221324b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b4b181b24b, Class:  1, CF:0.75714, Len: 10, Fitness_tra: 3
Rule 14: 224211b247, Class:  1, CF:0.55736, Len: 10, Fitness_tra: 1
Rule 15: 244756272b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 717b514474, Class:  1, CF:0.73391, Len: 10, Fitness_tra: 0
Rule 17: 241b8617b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 27123a4bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 422b2e1bb4, Class:  0, CF:0.989438, Len: 10, Fitness_tra: 0
Rule 20: 4bb7132774, Class:  0, CF:0.980207, Len: 10, Fitness_tra: 0
Rule 21: 24745341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b741837b44, Class:  0, CF:0.911534, Len: 10, Fitness_tra: 0
Rule 23: 277243b242, Class:  0, CF:0.990092, Len: 10, Fitness_tra: 0
Rule 24: 4521217471, Class:  0, CF:0.614969, Len: 10, Fitness_tra: 2
Rule 25: b4bb512777, Class:  0, CF:0.000134061, Len: 10, Fitness_tra: 0
Rule 26: 2217162427, Class:  0, CF:0.999953, Len: 10, Fitness_tra: 0
Rule 27: b171214bbb, Class:  0, CF:0.644389, Len: 10, Fitness_tra: 0
Rule 28: 2472194727, Class:  0, CF:0.505229, Len: 10, Fitness_tra: 0
Rule 29: 2124ce7744, Class:  1, CF:0.636583, Len: 10, Fitness_tra: 0
Rule 30: 154b7db71b, Class:  0, CF:0.996868, Len: 10, Fitness_tra: 4
Rule 31: 117b234122, Class:  0, CF:0.856947, Len: 10, Fitness_tra: 0
Rule 32: 4a4d1322b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 78214eb111, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 147213172b, Class:  0, CF:0.997521, Len: 10, Fitness_tra: 2
Rule 35: 47718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 72b7c31b72, Class:  0, CF:0.906879, Len: 10, Fitness_tra: 0
Rule 37: b4bb23b271, Class:  0, CF:0.991276, Len: 10, Fitness_tra: 0
Rule 38: 14b4851274, Class:  0, CF:0.669985, Len: 10, Fitness_tra: 76
Rule 39: 112283bb77, Class:  0, CF:0.953157, Len: 10, Fitness_tra: 0
Rule 40: b41b167277, Class:  0, CF:0.999906, Len: 10, Fitness_tra: 0
Rule 41: 214115b171, Class:  1, CF:0.288669, Len: 10, Fitness_tra: -1479
